FieldNum,GangRelatedYN,CreatedDate,CreatedTime,CreatedID
16-3-FI,N,20160112,0836,535
16-1-FI,N,20160109,0924,483
16-2-FI,N,20160111,1541,548
16-4-FI,N,20160114,1703,535
16-5-FI,Y,20160118,2249,407
16-115-FI,N,20161231,0807,548
16-7-FI,Y,20160202,1945,503
16-6-FI,N,20160202,1928,443
16-8-FI,N,20160204,0947,558
16-9-FI,Y,20160212,1430,563
16-10-FI,N,20160212,2122,347
16-11-FI,N,20160212,2129,347
16-12-FI,Y,20160217,1432,548
16-13-FI,N,20160224,1421,535
16-14-FI,N,20160226,0047,547
16-16-FI,N,20160229,0835,535
16-17-FI,Y,20160302,1500,507
16-19-FI,N,20160308,1048,535
16-18-FI,N,20160308,0917,535
16-20-FI,N,20160324,1013,548
16-21-FI,N,20160325,0316,559
16-23-FI,Y,20160405,1920,407
16-22-FI,N,20160327,1333,517
16-24-FI,Y,20160406,0201,503
16-25-FI,N,20160408,1539,517
16-26-FI,N,20160415,1602,548
16-27-FI,Y,20160418,1919,503
16-28-FI,N,20160422,0844,535
16-29-FI,Y,20160424,1937,503
16-30-FI,N,20160502,2139,316
16-31-FI,N,20160518,2137,513
16-32-FI,Y,20160519,1435,535
16-33-FI,N,20160519,1904,316
16-35-FI,N,20160522,1132,314
16-34-FI,N,20160520,1313,548
16-36-FI,N,20160523,1020,509
16-37-FI,N,20160527,0841,548
16-38-FI,N,20160529,0005,462
16-41-FI,N,20160607,1608,407
16-39-FI,N,20160604,1027,535
16-40-FI,N,20160604,1142,548
16-42-FI,N,20160616,1425,535
16-43-FI,N,20160622,2147,332
16-44-FI,N,20160624,1157,389
16-45-FI,N,20160629,0213,533
16-46-FI,N,20160702,0009,442
16-47-FI,N,20160702,2156,365
16-48-FI,N,20160704,1152,548
16-49-FI,Y,20160707,1238,548
16-50-FI,N,20160717,1641,479
16-51-FI,Y,20160719,1859,400
16-52-FI,N,20160719,1920,400
16-53-FI,Y,20160801,1325,548
16-54-FI,N,20160802,1320,292
16-55-FI,Y,20160803,1428,499
16-56-FI,N,20160809,1936,407
16-57-FI,N,20160810,2104,479
16-58-FI,N,20160813,1226,541
16-59-FI,N,20160817,0041,562
16-60-FI,Y,20160825,0000,503
16-61-FI,Y,20160826,0832,535
16-62-FI,N,20160826,1850,548
16-63-FI,Y,20160828,0017,503
16-64-FI,N,20160902,2246,441
16-65-FI,,20160905,1454,541
17-55-FI,N,20170409,1121,548
16-66-FI,N,20160910,1942,407
16-67-FI,N,20160917,1511,548
16-68-FI,N,20160919,2258,479
16-69-FI,Y,20160922,0830,535
16-72-FI,N,20160927,2325,443
16-70-FI,N,20160927,0415,559
16-71-FI,N,20160927,2233,430
16-73-FI,N,20161001,1552,548
16-75-FI,Y,20161002,1733,548
16-74-FI,N,20161002,0613,483
16-76-FI,N,20161005,1642,548
16-77-FI,N,20161005,2112,468
16-78-FI,N,20161020,0743,389
16-79-FI,N,20161020,0803,548
16-80-FI,Y,20161020,1416,548
16-81-FI,N,20161021,0003,462
16-82-FI,N,20161022,0903,535
16-88-FI,N,20161030,0909,548
16-83-FI,N,20161023,1950,468
16-84-FI,N,20161024,1853,446
16-85-FI,Y,20161026,1624,535
16-86-FI,Y,20161028,0830,535
16-87-FI,Y,20161030,0009,503
16-89-FI,Y,20161102,1450,507
16-92-FI,Y,20161111,1611,536
16-90-FI,,20161107,2220,441
16-91-FI,N,20161109,2301,468
16-93-FI,N,20161116,0129,562
16-94-FI,N,20161116,0159,562
16-95-FI,N,20161116,0211,443
16-96-FI,N,20161117,1201,548
16-97-FI,N,20161117,2313,479
16-98-FI,N,20161118,2259,543
16-99-FI,N,20161126,1217,499
16-100-FI,N,20161127,0916,535
16-101-FI,N,20161201,2056,499
16-102-FI,N,20161204,2251,531
16-106-FI,N,20161224,1133,544
16-103-FI,Y,20161213,1825,407
16-104-FI,Y,20161213,2340,407
16-105-FI,N,20161224,0959,548
16-107-FI,N,20161225,1544,548
16-108-FI,N,20161226,0839,535
16-109-FI,N,20161227,0153,442
16-110-FI,N,20161227,1100,552
16-111-FI,N,20161228,1118,548
16-112-FI,N,20161228,1121,577
16-113-FI,N,20161230,1435,544
16-114-FI,,20161230,1848,536
16-116-FI,N,20161231,1215,544
16-117-FI,N,20161231,1647,407
17-1-FI,N,20170102,2215,430
17-2-FI,Y,20170104,0119,503
17-3-FI,N,20170108,2027,557
17-4-FI,N,20170111,2211,311
17-5-FI,N,20170112,1255,548
17-6-FI,,20170112,2243,407
17-7-FI,N,20170116,1302,548
17-8-FI,Y,20170118,1233,548
17-9-FI,N,20170118,2301,347
17-10-FI,N,20170119,1823,446
17-11-FI,N,20170123,0808,389
17-12-FI,Y,20170123,1458,535
17-13-FI,N,20170124,1452,535
17-14-FI,N,20170124,1846,548
17-15-FI,N,20170125,0959,535
17-16-FI,N,20170126,0916,535
17-17-FI,N,20170126,0939,340
17-18-FI,N,20170131,1509,535
17-19-FI,N,20170202,1940,531
17-20-FI,N,20170204,1040,548
17-21-FI,,20170206,2008,407
17-22-FI,N,20170211,1334,548
17-30-FI,N,20170223,1250,548
17-23-FI,N,20170215,1249,573
17-24-FI,N,20170216,1553,548
17-25-FI,N,20170218,0853,535
17-26-FI,N,20170218,1530,544
17-27-FI,N,20170221,2217,479
17-28-FI,N,20170222,0818,535
17-29-FI,N,20170222,1715,535
17-31-FI,N,20170225,1133,535
