IncidentNum,Age,Sex,Race,Ethnicity,CreatedID,ModifiedDate
16-3-FI,25,M,B,N,535,20180604
16-3-FI,20,M,B,N,535,20160112
16-3-FI,35,M,W,N,535,20160118
16-1-FI,66,M,B,N,560,20160109
16-2-FI,26,F,W,N,548,20160115
16-2-FI,28,M,B,N,548,20160115
16-2-FI,28,M,B,N,548,20180925
16-2-FI,26,M,B,N,548,20160115
16-2-FI,25,M,B,N,548,20160116
16-2-FI,20,F,B,N,548,20200425
16-4-FI,19,F,B,H,535,20210522
16-4-FI,18,M,W,N,535,20210522
16-4-FI,18,M,B,N,535,20210522
16-4-FI,64,M,B,N,535,20160118
16-5-FI,28,M,B,N,407,20160118
16-5-FI,46,F,B,N,407,20160118
16-115-FI,18,F,W,N,548,20210924
16-115-FI,20,F,B,H,548,20161231
16-115-FI,21,M,B,N,548,20161231
16-115-FI,53,M,B,N,548,20161231
16-7-FI,24,M,B,N,503,20160202
16-7-FI,25,M,B,N,503,20190626
16-7-FI,65,M,B,N,503,20160202
16-6-FI,23,M,W,H,443,20160202
16-6-FI,23,M,B,H,443,20160202
16-8-FI,37,M,B,N,558,20160204
16-8-FI,24,F,B,N,558,20160204
16-9-FI,21,M,B,N,535,20170118
16-9-FI,19,M,W,N,535,20180217
16-9-FI,18,M,B,H,535,20170704
16-10-FI,26,F,B,N,347,20160212
16-11-FI,32,F,B,N,347,20160212
16-12-FI,22,M,B,N,548,20160227
16-12-FI,22,F,B,N,548,20160227
16-12-FI,19,M,B,N,548,20160227
16-12-FI,22,M,B,N,548,20160227
16-12-FI,59,M,B,N,548,20160227
16-13-FI,26,M,B,N,535,20160527
16-13-FI,22,M,B,N,535,20160224
16-14-FI,24,M,B,N,547,20160226
16-14-FI,20,M,B,U,547,20160226
16-14-FI,19,M,B,N,547,20160226
16-16-FI,27,M,B,N,535,20160323
16-16-FI,21,F,B,N,535,20170118
16-16-FI,21,M,B,N,535,20170118
16-17-FI,19,M,W,H,507,20160302
16-17-FI,22,M,W,N,507,20160302
16-17-FI,42,F,W,U,507,20160302
16-17-FI,39,F,W,N,507,20160302
16-19-FI,18,M,B,N,535,20160308
16-19-FI,19,M,W,N,535,20180217
16-19-FI,18,M,B,N,535,20181221
16-19-FI,50,M,W,N,535,20170114
16-18-FI,20,M,B,N,535,20160326
16-18-FI,26,M,B,N,535,20170312
16-18-FI,27,M,B,N,535,20160326
16-18-FI,27,M,B,N,535,20160326
16-18-FI,27,M,B,N,535,20160326
16-18-FI,29,F,B,N,535,20160326
16-18-FI,24,M,A,N,535,20161028
16-18-FI,18,F,W,N,535,20161231
16-18-FI,20,M,B,N,535,20161106
16-18-FI,36,F,B,N,535,20161106
16-18-FI,25,F,B,N,535,20161106
16-18-FI,25,M,B,N,535,20161115
16-18-FI,45,F,B,N,535,20161227
16-18-FI,21,F,B,N,535,20170102
16-18-FI,28,M,W,N,535,20170219
16-20-FI,44,M,B,N,548,20160324
16-20-FI,30,F,B,N,548,20160324
16-20-FI,24,M,B,N,548,20160324
16-20-FI,23,M,B,N,548,20160324
16-20-FI,63,M,B,N,548,20160324
16-20-FI,29,M,B,N,548,20160324
16-21-FI,20,M,B,N,559,20160325
16-21-FI,19,M,B,N,559,20160325
16-23-FI,23,M,B,N,407,20180820
16-23-FI,19,M,B,N,407,20160405
16-23-FI,23,M,B,N,407,20160405
16-23-FI,18,M,B,N,407,20170630
16-22-FI,26,M,B,N,517,20160327
16-24-FI,23,M,B,N,503,20180523
16-24-FI,22,M,B,N,503,20160406
16-25-FI,15,M,B,N,517,20160408
16-25-FI,17,M,B,N,517,20160408
16-25-FI,15,M,B,N,517,20160408
16-25-FI,15,F,B,N,517,20160408
16-25-FI,14,F,B,N,517,20160408
16-26-FI,25,M,B,N,548,20160416
16-26-FI,30,F,B,N,548,20160416
16-27-FI,19,M,B,N,503,20160418
16-28-FI,21,M,W,H,535,20170123
16-28-FI,23,F,B,N,535,20160501
16-28-FI,22,M,B,N,535,20160501
16-29-FI,24,M,B,N,503,20160424
16-29-FI,30,M,B,N,503,20160424
16-30-FI,31,M,W,N,415,20160503
16-30-FI,25,M,B,N,415,20160503
16-30-FI,29,M,W,N,415,20160503
16-30-FI,27,M,W,H,415,20160503
16-30-FI,29,F,W,N,415,20160503
16-30-FI,24,F,W,N,415,20160503
16-30-FI,29,F,W,N,415,20160503
16-31-FI,21,M,W,H,415,20160520
16-32-FI,24,M,B,N,535,20160523
16-32-FI,22,M,B,N,535,20160523
16-32-FI,33,M,B,N,535,20160523
16-32-FI,33,M,B,N,535,20160523
16-33-FI,19,M,B,U,437,20190319
16-33-FI,19,F,B,U,437,20160519
16-33-FI,15,M,B,U,437,20180421
16-35-FI,24,M,B,N,314,20160522
16-35-FI,21,M,B,N,314,20160522
16-35-FI,19,M,B,N,314,20160522
16-34-FI,39,M,W,N,548,20160520
16-34-FI,57,F,W,N,548,20160520
16-36-FI,26,M,B,N,548,20160527
16-36-FI,27,M,B,N,548,20160527
16-36-FI,25,M,B,N,548,20180610
16-36-FI,22,M,B,N,548,20170311
16-36-FI,20,M,B,N,548,20170311
16-36-FI,23,M,B,N,548,20170311
16-36-FI,18,M,B,N,548,20170311
16-36-FI,43,F,B,N,548,20170312
16-36-FI,22,F,B,N,548,20180603
16-37-FI,26,M,W,N,548,20160527
16-38-FI,22,M,W,N,387,20160529
16-41-FI,32,M,B,N,407,20160724
16-41-FI,26,M,B,N,407,20160724
16-41-FI,41,M,B,N,407,20160724
16-41-FI,24,M,B,N,407,20160724
16-41-FI,24,F,W,N,407,20160724
16-39-FI,48,F,W,N,535,20210822
16-39-FI,56,M,W,N,535,20160606
16-39-FI,65,F,W,N,535,20160606
16-39-FI,28,M,W,N,535,20160606
16-40-FI,49,M,W,N,548,20160604
16-42-FI,23,M,B,N,535,20160617
16-42-FI,21,M,B,N,535,20160617
16-42-FI,41,M,W,N,535,20160617
16-43-FI,26,M,B,N,415,20160623
16-43-FI,27,M,B,N,415,20160623
16-44-FI,30,M,B,N,389,20160624
16-45-FI,21,M,B,N,443,20160629
16-45-FI,19,M,B,N,443,20160629
16-45-FI,19,M,W,N,443,20180217
16-46-FI,26,M,B,N,443,20160704
16-46-FI,27,M,B,N,443,20160704
16-46-FI,24,M,B,N,443,20160704
16-46-FI,28,M,B,N,443,20160704
16-47-FI,62,M,W,N,365,20160702
16-48-FI,21,M,W,N,548,20210205
16-48-FI,22,F,W,N,548,20160707
16-49-FI,22,F,B,N,548,20190130
16-49-FI,24,M,A,N,548,20160707
16-50-FI,26,M,B,N,479,20160717
16-50-FI,23,M,B,N,479,20160717
16-51-FI,17,M,B,N,347,20160719
16-51-FI,19,M,B,N,347,20160719
16-51-FI,21,M,B,H,347,20160719
16-52-FI,22,M,B,H,347,20170118
16-52-FI,19,M,B,N,347,20160719
16-52-FI,19,M,W,N,347,20180217
16-53-FI,22,F,B,N,548,20160801
16-53-FI,26,M,B,N,548,20160801
16-53-FI,28,M,B,N,548,20160801
16-53-FI,46,M,B,N,548,20160801
16-54-FI,21,M,B,N,292,20160802
16-54-FI,18,M,B,U,292,20190103
16-54-FI,23,M,B,N,292,20160802
16-54-FI,20,M,B,N,292,20160802
16-55-FI,26,M,B,N,499,20190211
16-55-FI,26,M,B,H,499,20160803
16-55-FI,30,M,B,N,499,20160803
16-56-FI,25,M,B,N,407,20160810
16-56-FI,34,M,B,N,407,20180212
16-57-FI,36,M,B,N,479,20160810
16-57-FI,20,M,B,N,479,20160810
16-58-FI,23,M,B,N,541,20160813
16-58-FI,23,M,B,N,541,20160813
16-59-FI,25,M,B,N,443,20160817
16-59-FI,32,M,B,N,443,20160817
16-60-FI,24,M,B,N,503,20170918
16-60-FI,24,M,B,N,503,20160825
16-60-FI,28,M,B,N,503,20160825
16-61-FI,24,M,B,N,535,20171219
16-61-FI,22,M,B,N,535,20160827
16-61-FI,21,M,B,N,535,20160827
16-61-FI,19,M,B,N,535,20171219
16-61-FI,44,M,W,H,535,20180304
16-61-FI,39,F,W,N,535,20171219
16-62-FI,19,M,W,N,548,20180217
16-63-FI,20,M,B,N,503,20160828
16-63-FI,20,M,B,N,503,20160828
16-63-FI,21,M,B,N,503,20160828
16-64-FI,25,M,B,N,415,20160910
17-55-FI,30,F,B,N,548,20171018
16-66-FI,25,M,B,N,407,20160910
16-66-FI,44,M,B,N,407,20160910
16-67-FI,35,M,W,N,548,20160917
16-68-FI,35,M,W,N,479,20160919
16-68-FI,21,F,W,N,479,20160919
16-69-FI,19,M,W,N,535,20180217
16-69-FI,22,M,B,N,535,20170118
