Year,ActivityDate,Method Received,Classification,Sub-Classification,CaseNumber,Location_Summary,Street Address,Location Detail,City,State,Type of location,OfficerId,Race,Ethnicity,Sex,Age
2016,1/7/16,In-person,FIO,Homeless Individual(s),2016-0H6-000101,"Mothers Rest, BOSTON, MA
,",,Mothers Rest,Boston,MA,Public,,,,,
2016,1/13/16,In-person,FIO,Homeless Individual(s),2016-0H4-000386,"WASHINGTON STREET & NEW WASHINGTON STREET, BOSTON, MA
,",WASHINGTON STREET & NEW WASHINGTON STREET,,Boston,MA,Public,3065,,,Male,30
2016,1/14/16,,FIO,Possible Drug Activity,2016-TK9-000132,"130 CHESTNUT STREET, FRANKLIN, MA
,",130 CHESTNUT STREET,,Franklin,MA,Medical,3037,,,,
2016,1/14/16,,FIO,Possible Drug Activity,2016-TK9-000132,"130 CHESTNUT STREET, FRANKLIN, MA
,",130 CHESTNUT STREET,,Franklin,MA,Medical,3553,,,,
2016,1/14/16,In-person,FIO,,2016-0H4-000412,"Museum of Science, BOSTON, MA
,",,Museum of Science,Boston,MA,Private,3120,,,,
2016,1/14/16,In-person,FIO,,2016-0H4-000412,"Museum of Science, BOSTON, MA
,",,Museum of Science,Boston,MA,Private,3065,,,,
2016,1/15/16,Telephone,FIO,Possible Gang Activity,2016-0H4-000426,"WEBSTER AVENUE & PORTSMOUTH STREET, CAMBRIDGE, MA
,",WEBSTER AVENUE & PORTSMOUTH STREET,,Cambridge,MA,Public,3219,,,,
2016,1/19/16,Radio,FIO,Possible Terrorist Activity,2016-0F1-001657,BOSTON (Logan Airport): Terminal B American Airlines Passenger,Terminal B American Airlines Passenger,Logan Airport,Boston,MA,Transit,1729,,,Male,59
2016,1/21/16,Radio,FIO,Possible Terrorist Activity,2016-0H6-000329,"WILLIAM T MORRISSEY BOULEVARD,  Area of Gas Tank, BOSTON, MA
,",WILLIAM T MORRISSEY BOULEVARD,Area of Gas Tank,Boston,MA,Private,,,,,
2016,1/21/16,Radio,FIO,Possible Terrorist Activity,2016-0H6-000329,"WILLIAM T MORRISSEY BOULEVARD,  Area of Gas Tank, BOSTON, MA
,",WILLIAM T MORRISSEY BOULEVARD,Area of Gas Tank,Boston,MA,Private,,Middle Eastern or East Indian,,Male,47
2016,1/25/16,,FIO,Possible Drug Activity,2016-0F1-002195,"LYNN, MA
,",,,LYNN,MA,Unknown,3261,,,,
2016,1/25/16,,FIO,Possible Drug Activity,2016-0F1-002195,"LYNN, MA
,",,,LYNN,MA,Unknown,3196,,,,
2016,1/25/16,,FIO,Possible Drug Activity,2016-0F1-002195,"LYNN, MA
,",,,LYNN,MA,Unknown,3027,,,,
2016,1/27/16,Telephone,FIO,Possible Drug Activity,2016-0H3-000628,"800 WASHINGTON STREET,  Norwood Hospital, NORWOOD, MA
,",800 WASHINGTON STREET,Norwood Hospital,Norwood,MA,Medical,3744,,,,
2016,1/28/16,In-person,FIO,Homeless Individual(s),2016-0E4-000718,"Various Locations, BOSTON, MA
,",Various Locations,,Boston,MA,Unknown,0532,,,,
2016,1/28/16,In-person,FIO,Homeless Individual(s),2016-0E4-000718,"Various Locations, BOSTON, MA
,",Various Locations,,Boston,MA,Unknown,0817,,,,
2016,1/28/16,In-person,FIO,Homeless Individual(s),2016-0E4-000718,"Various Locations, BOSTON, MA
,",Various Locations,,Boston,MA,Unknown,0724,,,,
2016,1/30/16,In-person,FIO,Homeless Individual(s),2016-0H4-000833,"Bowker Overpass, BOSTON, MA
,",Bowker Overpass,,Boston,MA,Public,3065,,,,
2016,2/3/16,Telephone,FIO,Possible Drug Activity,2016-0C6-001010,"PRESTON STREET, WORCESTER, MA
,",PRESTON STREET,,Worcester,MA,Public,2900,Black,AFRICAN AMERICAN,Male,20
2016,2/3/16,Telephone,FIO,Possible Drug Activity,2016-0C6-001010,"PRESTON STREET, WORCESTER, MA
,",PRESTON STREET,,Worcester,MA,Public,3021,Black,"AFRICAN
AMERICAN",Male,20
2016,2/6/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000115,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,1856,White,,Male,53
2016,2/6/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000115,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,3192,White,,Male,53
2016,2/12/16,Radio,FIO,Homeless Individual(s),2016-0H4-001146,"Charles Circle, BOSTON, MA
,",,Charles Circle,Boston,MA,Public,3065,,,,
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,26
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Male,41
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"301 WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",301 WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,Male,41
2016,2/12/16,Telephone,FIO,Possible Drug Activity,2016-GEU-000135,"WASHINGTON STREET,  Plainridge Park Casino, PLAINVILLE, MA
,",WASHINGTON STREET,Plainridge Park Casino,Plainville,MA,Private,,,,,26
2016,2/13/16,Telephone,FIO,Homeless Individual(s),2016-0H4-001169,,,,,,Unknown,3219,,,,
2016,2/13/16,Telephone,FIO,Homeless Individual(s),2016-0H4-001169,"MEMORIAL DRIVE,  Magazine Beach, CAMBRIDGE, MA
,",MEMORIAL DRIVE,Magazine Beach,Cambridge,MA,Public,3219,,,,
2016,2/15/16,Radio,FIO,Possible Drug Activity,2016-0H3-001123,"26 ROSE STREET,  Stoughton Police Department, STOUGHTON, MA
,",26 ROSE STREET,Stoughton Police Department,Stoughton,MA,Law Enforcement/Government,3744,,,,
2016,2/21/16,Self-initiated,FIO,,2016-0C2-001876,"3 CORMIER CIRCLE, MILFORD, MA
,",3 CORMIER CIRCLE,,Milford,MA,Residence,3744,White,,Male,18
2016,2/21/16,Self-initiated,FIO,,2016-0C2-001876,"3 CORMIER CIRCLE, MILFORD, MA
,",3 CORMIER CIRCLE,,Milford,MA,Residence,3832,White,,Male,18
